ID,Tache,Phase,Duree_heures,Duree_jours,Date_debut,Date_fin,Predecesseur
1.1,Carte mentale,Phase 1,4,1,03/10/2025,03/10/2025,
1.2,Analyse besoins Aeroworld,Phase 1,4,1,06/10/2025,06/10/2025,1.1
1.3,Cahier des charges portfolio,Phase 1,6,1.5,07/10/2025,08/10/2025,1.2
1.4,Validation mentor,Phase 1,2,0.5,08/10/2025,08/10/2025,1.3
2.1,Mock-up Dashboard Veille,Phase 2,5,1,09/10/2025,09/10/2025,1.4
2.2,Mock-up Dashboard Profil,Phase 2,3,0.5,10/10/2025,10/10/2025,2.1
2.3,Validation mentor mock-ups,Phase 2,2,0.5,10/10/2025,10/10/2025,2.2
3.1,Dashboard Veille - Collecte donnees,Phase 3,3,0.5,13/10/2025,13/10/2025,2.3
3.2,Dashboard Veille - Developpement Power BI,Phase 3,9,2,14/10/2025,15/10/2025,3.1
3.3,Dashboard Profil - Collecte donnees,Phase 3,3,0.5,16/10/2025,16/10/2025,3.2
3.4,Dashboard Profil - Developpement Power BI,Phase 3,5,2,16/10/2025,17/10/2025,3.3
4.1,Script video formation Power BI,Phase 4,2,0.5,20/10/2025,20/10/2025,3.4
4.2,Enregistrement video (8 min),Phase 4,2,0.5,21/10/2025,21/10/2025,4.1
4.3,Montage video,Phase 4,2,0.5,21/10/2025,21/10/2025,4.2
4.4,Documentation procedure graphiques,Phase 4,2,0.5,21/10/2025,21/10/2025,4.3
5.1,Choix plateforme (CMS/GitHub),Phase 5,1,0.25,22/10/2025,22/10/2025,4.4
5.2,Structure du portfolio web,Phase 5,3,0.75,22/10/2025,22/10/2025,5.1
5.3,Integration des livrables,Phase 5,4,0.75,23/10/2025,23/10/2025,5.2
5.4,Tests et corrections,Phase 5,2,0.25,23/10/2025,23/10/2025,5.3
6.1,Preparation presentation orale,Phase 6,3,0.5,24/10/2025,24/10/2025,5.4
6.2,Repetition soutenance,Phase 6,2,0.25,24/10/2025,24/10/2025,6.1
6.3,Soutenance blanche avec mentor,Phase 6,1,0.25,24/10/2025,24/10/2025,6.2
